Item Number,Qty,Description,Condition,Price,Location,Quick/Bid,Image
77216,2,"2016 iMac 21""",FAIR,$200.00,EA,Quick,
77047,1,"2017 Chevrolet Colorado ex cab 2wd, 2.5 auto engine trans,  tow package, bed liner, only 23236 miles. Bid ends 7/28/2022",GOOD,"$21,995.00",EA,Bid,
77213,5,"2017 iMac 21""",FAIR,$250.00,EA,Quick,
77217,5,2018 MacBook Pro,FAIR,$400.00,EA,Quick,
77122,1,BKI Free  Standing Fry Dump Station or Food Warmer,GOOD,$525.00,EA,Quick,Image
75191,1,Catalyst 6500 Chassis,GOOD,$50.00,UT,Quick,
76137,1,Chick-fil-A Sandwich and Fry Display,GOOD,$121.25,EA,Quick,Image
75173,1,Cisco 6500 series chassis,GOOD,$50.00,EA,Quick,
75176,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75177,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75178,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75179,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75180,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75181,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75182,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75183,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75184,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75185,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75186,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75187,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75188,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75189,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75190,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75192,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75193,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75194,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75195,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75196,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75197,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75198,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75199,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75200,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75201,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75202,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
75203,1,Cisco 6500 series chassis,GOOD,$50.00,UT,Quick,
76915,78,"Coin Boxes - Pennies, Nickels, Dimes",EXCELLENT,$0.50,EA,Quick,
50232,720,COMPUTER - Keyboards,GOOD,$5.00,EA,Quick,
51847,641,COMPUTER - Mice,GOOD,$2.00,EA,Quick,
46633,384,COMPUTER - Power Cords,VARIES,$1.00,EA,Quick,
52804,1030,COMPUTER - USB Printer Cables,GOOD,$1.00,EA,Quick,Image
76847,4,Desisti De-Lux-2 Model 4600 Stage/Studio Light,FAIR,$320.00,EA,Bid,Image
76846,12,Desisti Giotto Model 4130 Stage/Studio Light,FAIR,$160.00,EA,Bid,Image
76849,6,Desisti Leonardo Model 310 Stage/Studio Light,FAIR,$150.00,EA,Bid,Image
76848,2,Desisti Leonardo Model 320 1000W Light Stage/Studio,FAIR,$200.00,EA,Bid,Image
76845,6,Desisti Magis Model 300. 60W Stage/Studio Light,FAIR,$125.00,EA,Bid,Image
76141,1,Dual Drawer Toast Master,GOOD,$180.00,EA,Quick,Image
76139,1,Duke Tray Warmer,GOOD,$243.75,EA,Quick,Image
77123,1,Electric Pie Press with extras,GOOD,"$2,250.00",EA,Quick,Image
77121,1,"Electrolux Professional Ag, Ch-6210 Sursee Tilt Pressure Cooker 40 Gallon",GOOD,"$13,125.00",EA,Quick,Image
76844,1,Expandable conveyor,FAIR,$62.50,EA,Quick,Image
77067,293,Folding chairs,GOOD,$3.75,EA,Quick,
76140,1,Fry Catch Basin,GOOD,$118.75,EA,Quick,Image
58571,43,Gray RCA Audio,VARIES,$1.00,EA,Quick,Image
76313,1,Hanging projector scissor lift,POOR,$25.00,EA,Quick,
77302,1,"Homack 2008 tool box 41"" blue Homack tool box",GOOD,$995.00,EA,Bid,
76135,1,Ice Dispenser,GOOD,$768.75,EA,Quick,Image
77124,1,Industrial Metal Shevles W/no legs Comes with 4 posts and 4 shelves. Varying widths available.,GOOD,$15.00,EA,Quick,Image
76752,1,Labconco Paramount Filtered Enclosure stand,EXCELLENT,$250.00,AMT,Quick,Image
52304,26,Large AC Adaptors,FAIR,$15.00,EA,Quick,Image
76991,1,Monitors,GOOD,$7.50,EA,Quick,
76048,1,mop bucket,UNKNOWN,$0.75,EA,Quick,
76843,1,Morgana Digifold Pro Folding/Scoring Machine,FAIR,"$7,500.00",EA,Quick,Image
75974,1,Old Monitor,FAIR,$2.50,EA,Quick,
76129,1,Pioneer DVD Player (DV-606D),FAIR,$3.75,EA,Quick,
58227,101,RCA Audio cables,VARIES,$1.00,EA,Quick,
76136,1,Single Pan Cold Well Drop In for Cabinet,GOOD,$62.50,EA,Quick,Image
76257,18,Sold by the case furnace filters,EXCELLENT,$8.00,EA,Quick,
52769,54,VGA Cables,GOOD,$1.00,EA,Quick,Image
 , , , , , , , 
